"{758.7913669064748, 425.0295763389289}","{886.4844124700239, 523.2549960031974}","{545.9696243005595, 655.8593125499601}","{446.10711430855315, 637.8513189448443}","{79.39888089528377, 634.5771382893686}"
"{759.0344848632812, 424.8342590332031}","{888.1910400390625, 521.7445068359375}","{547.0602416992188, 656.951171875}","{448.5596008300781, 636.768310546875}","{79.0029067993164, 636.1427001953125}"
"{759.4091796875, 426.3096008300781}","{887.827392578125, 524.1173095703125}","{547.3739624023438, 657.2807006835938}","{446.89599609375, 636.142333984375}","{78.34635925292969, 639.529052734375}"
"{757.6276245117188, 427.239990234375}","{887.1030883789062, 523.234375}","{548.3362426757812, 660.0735473632812}","{447.2479553222656, 636.12255859375}","{76.82711029052734, 639.9723510742188}"
"{759.0888061523438, 427.12890625}","{890.6732177734375, 521.1326293945312}","{550.4954223632812, 659.5439453125}","{446.6946716308594, 634.5910034179688}","{76.80606842041016, 641.1660766601562}"
"{758.9070434570312, 427.134765625}","{889.4552001953125, 521.1768798828125}","{550.9295043945312, 657.8865966796875}","{446.069580078125, 633.581787109375}","{77.90929412841797, 640.072998046875}"
"{758.5913696289062, 427.0396728515625}","{888.0804443359375, 519.7220458984375}","{552.2008056640625, 658.12548828125}","{444.630126953125, 633.765869140625}","{79.51244354248047, 638.6494750976562}"
"{757.197998046875, 427.9360046386719}","{889.6557006835938, 519.5145263671875}","{550.8802490234375, 658.2134399414062}","{443.9634094238281, 632.9907836914062}","{77.85342407226562, 637.0728759765625}"
"{754.7111206054688, 427.01141357421875}","{890.062744140625, 520.0253295898438}","{547.9970703125, 659.3177490234375}","{444.6866455078125, 632.9705810546875}","{78.72756958007812, 638.35302734375}"
"{755.19140625, 428.7145080566406}","{891.3169555664062, 519.0805053710938}","{548.375732421875, 661.0061645507812}","{445.3075866699219, 635.84619140625}","{78.91984558105469, 639.7947387695312}"
"{755.4918212890625, 429.2539367675781}","{893.0728759765625, 519.0963134765625}","{548.0918579101562, 662.6661376953125}","{450.0710754394531, 635.6365356445312}","{77.77071380615234, 641.4612426757812}"
"{755.4918212890625, 429.2539367675781}","{893.0728759765625, 519.0963134765625}","{548.0918579101562, 662.6661376953125}","{450.0710754394531, 635.6365356445312}","{77.77071380615234, 641.4612426757812}"
"{754.300048828125, 429.9126281738281}","{894.662353515625, 520.52734375}","{554.764892578125, 661.7337036132812}","{451.9764404296875, 635.1790771484375}","{76.31669616699219, 643.8040161132812}"
"{753.56494140625, 432.13018798828125}","{894.8872680664062, 517.674072265625}","{553.8563842773438, 660.3695678710938}","{452.67095947265625, 636.68017578125}","{78.30828857421875, 643.8687744140625}"
"{750.6688842773438, 428.0068359375}","{894.7735595703125, 519.2109375}","{556.3870849609375, 659.7921142578125}","{452.2771301269531, 635.8743896484375}","{75.6240005493164, 642.7574462890625}"
"{748.9265747070312, 428.1799621582031}","{896.0381469726562, 520.0455322265625}","{554.4915771484375, 657.6551513671875}","{451.9468994140625, 634.9269409179688}","{77.05706024169922, 642.7615966796875}"
"{749.8164672851562, 429.3173522949219}","{894.5758056640625, 519.998046875}","{556.0645751953125, 658.0872192382812}","{453.29327392578125, 635.3189697265625}","{77.83934783935547, 641.7232055664062}"
"{748.5191040039062, 429.9607849121094}","{896.1009521484375, 518.103271484375}","{554.32373046875, 657.0728149414062}","{453.2545166015625, 635.998046875}","{77.68785858154297, 639.9561767578125}"
"{748.8493041992188, 430.5916748046875}","{896.008056640625, 519.8330078125}","{553.2652587890625, 659.595947265625}","{453.767822265625, 636.7716674804688}","{79.35926055908203, 637.9002075195312}"
"{746.9153442382812, 432.2043151855469}","{894.667236328125, 517.9244384765625}","{551.4070434570312, 663.3881225585938}","{456.14239501953125, 637.4013671875}","{80.05402374267578, 639.6632080078125}"
"{744.9761352539062, 431.5144348144531}","{896.082763671875, 522.7003173828125}","{551.3875122070312, 662.7440795898438}","{455.6714782714844, 636.9930419921875}","{82.18914031982422, 638.3035888671875}"
"{745.856689453125, 429.8985595703125}","{897.3946533203125, 521.0223999023438}","{549.8580932617188, 665.2705078125}","{457.4642028808594, 638.158447265625}","{82.00489044189453, 639.7613525390625}"
"{745.7964477539062, 429.7085876464844}","{896.1385498046875, 523.4923095703125}","{552.9592895507812, 665.415283203125}","{458.38970947265625, 639.9298095703125}","{83.74019622802734, 639.2948608398438}"
"{744.9430541992188, 429.34033203125}","{895.9361572265625, 524.3688354492188}","{553.1260986328125, 667.0142211914062}","{459.4765625, 638.2138671875}","{84.67947387695312, 638.8496704101562}"
"{744.661376953125, 429.7646484375}","{897.1258544921875, 524.2542724609375}","{551.9436645507812, 666.9052124023438}","{459.3794860839844, 636.8338012695312}","{83.8861312866211, 637.9960327148438}"
"{742.010986328125, 429.601806640625}","{897.2868041992188, 525.7149658203125}","{551.2581787109375, 667.89306640625}","{459.3663330078125, 634.2467651367188}","{81.15786743164062, 639.630126953125}"
"{741.41845703125, 429.36712646484375}","{896.5696411132812, 527.2056884765625}","{550.238525390625, 668.8023681640625}","{457.3671875, 635.5704956054688}","{81.55645751953125, 638.8282470703125}"
"{741.791015625, 426.3518371582031}","{896.2078247070312, 529.4302978515625}","{551.1280517578125, 667.8519287109375}","{457.8063659667969, 630.7940063476562}","{81.66514587402344, 639.0520629882812}"
"{741.4296264648438, 428.28082275390625}","{897.7451782226562, 531.5194091796875}","{548.251953125, 668.33056640625}","{457.94232177734375, 630.1409912109375}","{81.66935729980469, 638.93798828125}"
