"{897.9440447641886, 91.06314948041563}","{503.40527577937644, 248.2238209432454}","{467.3892885691447, 127.07913669064749}","{272.5755395683453, 37.03916866506802}","{349.5187849720224, 158.18385291766583}","{236.55955235811348, 220.39328537170263}","{248.01918465227817, 308.7961630695444}","{85.947242206235, 104.1598721023181}","{848.8313349320543, 294.06235011990407}","{735.8721023181455, 312.07034372502005}","{832.460431654676, 389.01358912869705}","{969.9760191846522, 521.6179056754597}","{766.9768185451638, 565.8193445243805}","{865.2022382094324, 644.3996802557954}","{753.8800959232614, 683.6898481215028}","{514.8649080735412, 631.3029576338929}"
"{898.4624633789062, 85.6044921875}","{504.391845703125, 248.068359375}","{467.93731689453125, 128.51434326171875}","{272.283203125, 37.73602294921875}","{350.4283447265625, 158.0341796875}","{239.09971618652344, 217.69036865234375}","{248.03379821777344, 306.353759765625}","{86.99584197998047, 102.38458251953125}","{847.6985473632812, 293.9215087890625}","{738.2968139648438, 312.6733093261719}","{831.21435546875, 388.81878662109375}","{970.4022216796875, 521.6453247070312}","{767.0867309570312, 564.9387817382812}","{865.7601318359375, 645.4026489257812}","{753.9400024414062, 683.5489501953125}","{514.8715209960938, 629.08935546875}"
"{898.8491821289062, 83.803466796875}","{505.6815490722656, 248.8052978515625}","{468.1355895996094, 128.03717041015625}","{271.454833984375, 39.4512939453125}","{352.1124572753906, 159.66619873046875}","{238.8502197265625, 217.1356201171875}","{248.7852783203125, 306.89715576171875}","{87.01931762695312, 103.08148193359375}","{847.4837646484375, 293.7607116699219}","{738.8120727539062, 311.1478271484375}","{832.1563720703125, 391.08465576171875}","{969.1107788085938, 519.1951904296875}","{767.5349731445312, 567.65234375}","{865.2081909179688, 645.0755004882812}","{754.130615234375, 683.2877197265625}","{514.9979248046875, 629.2227783203125}"
"{899.0951538085938, 82.103515625}","{506.10302734375, 248.3768310546875}","{469.3573303222656, 128.1505126953125}","{272.11480712890625, 39.2691650390625}","{350.4931945800781, 159.77001953125}","{239.06756591796875, 216.95928955078125}","{246.96315002441406, 305.8351745605469}","{88.05513763427734, 100.73785400390625}","{848.0362548828125, 295.374267578125}","{741.3680419921875, 308.64105224609375}","{833.1849365234375, 388.64349365234375}","{970.4454345703125, 518.0859985351562}","{767.0502319335938, 564.7285766601562}","{863.8429565429688, 646.359130859375}","{754.3759155273438, 683.3894653320312}","{515.5906982421875, 630.0574340820312}"
"{900.9514770507812, 82.81866455078125}","{505.4366149902344, 248.35394287109375}","{469.6848449707031, 127.64312744140625}","{273.78668212890625, 39.278076171875}","{350.7571716308594, 159.535888671875}","{238.23069763183594, 216.017578125}","{248.57974243164062, 306.2057800292969}","{87.89656066894531, 101.56982421875}","{847.940185546875, 298.9307556152344}","{741.4403076171875, 308.26702880859375}","{833.4320678710938, 387.4587097167969}","{966.56884765625, 517.3712158203125}","{767.6298217773438, 564.5450439453125}","{866.2969360351562, 645.2300415039062}","{753.4044799804688, 683.3776245117188}","{516.42822265625, 629.93896484375}"
"{899.1178588867188, 85.3201904296875}","{507.0409851074219, 248.73553466796875}","{468.70849609375, 129.7281494140625}","{275.7439270019531, 40.9102783203125}","{349.6850891113281, 161.63494873046875}","{241.53709411621094, 220.34710693359375}","{249.98387145996094, 309.9695129394531}","{84.21382904052734, 102.088623046875}","{847.65380859375, 303.83575439453125}","{741.1824340820312, 309.8536071777344}","{833.3074340820312, 386.5211181640625}","{966.1618041992188, 520.2588500976562}","{766.575439453125, 565.8981323242188}","{866.43115234375, 649.655029296875}","{754.213623046875, 684.4368286132812}","{516.647216796875, 630.457275390625}"
"{899.54931640625, 86.384033203125}","{508.43218994140625, 247.97601318359375}","{468.0924987792969, 128.4742431640625}","{277.4857177734375, 40.37054443359375}","{350.7005615234375, 161.77081298828125}","{241.17486572265625, 222.5491943359375}","{252.1292266845703, 309.3174133300781}","{83.42350006103516, 99.5472412109375}","{846.7243041992188, 302.6161804199219}","{739.72314453125, 311.2815246582031}","{831.6397705078125, 385.1644287109375}","{966.7789306640625, 520.1738891601562}","{765.2669677734375, 564.6508178710938}","{867.5338745117188, 648.1309814453125}","{754.3713989257812, 684.2422485351562}","{516.9622802734375, 627.7003173828125}"
"{899.6107177734375, 85.81292724609375}","{508.88153076171875, 247.802734375}","{468.01007080078125, 129.7977294921875}","{276.7794189453125, 38.96392822265625}","{350.6307067871094, 160.6285400390625}","{240.1464080810547, 221.44061279296875}","{252.1547393798828, 309.0627136230469}","{83.31503295898438, 99.116943359375}","{844.4658813476562, 301.4009704589844}","{742.2796630859375, 310.33453369140625}","{832.164306640625, 384.8912658691406}","{966.7876586914062, 520.6727905273438}","{763.335205078125, 566.569091796875}","{867.8007202148438, 645.1795654296875}","{753.9631958007812, 684.0860595703125}","{516.7778930664062, 626.1123046875}"
"{896.8394165039062, 83.01202392578125}","{510.13037109375, 247.11822509765625}","{468.1187438964844, 130.73486328125}","{276.75494384765625, 39.56427001953125}","{349.1599426269531, 161.03546142578125}","{240.38169860839844, 219.51544189453125}","{252.16787719726562, 308.4007873535156}","{85.8510971069336, 98.55780029296875}","{847.1998901367188, 302.19610595703125}","{742.5601806640625, 310.1753234863281}","{831.843505859375, 383.76434326171875}","{967.0062866210938, 522.1271362304688}","{761.3656616210938, 564.6422119140625}","{868.31103515625, 644.5582885742188}","{754.0380249023438, 683.2677001953125}","{516.3320922851562, 626.6806640625}"
"{897.0997924804688, 83.4195556640625}","{511.8948669433594, 247.4925537109375}","{466.65838623046875, 133.78680419921875}","{277.8701477050781, 38.7447509765625}","{349.0673522949219, 161.5255126953125}","{241.5050811767578, 219.3902587890625}","{251.26760864257812, 310.0625305175781}","{85.79637908935547, 99.99017333984375}","{848.379638671875, 303.2705993652344}","{741.8478393554688, 311.315185546875}","{831.3522338867188, 385.2813415527344}","{965.8944702148438, 523.5193481445312}","{760.7967529296875, 564.597412109375}","{868.55908203125, 642.2316284179688}","{754.189697265625, 683.5906982421875}","{516.1285400390625, 627.7749633789062}"
"{898.5960083007812, 84.65496826171875}","{511.5751647949219, 247.73675537109375}","{465.6601867675781, 133.1396484375}","{279.0351257324219, 37.51312255859375}","{350.93023681640625, 159.53619384765625}","{242.04978942871094, 220.88787841796875}","{250.9845428466797, 308.3375549316406}","{86.50064086914062, 98.48095703125}","{846.4205932617188, 302.1287841796875}","{744.9789428710938, 310.1424865722656}","{831.3377685546875, 386.0102844238281}","{965.4640502929688, 523.8141479492188}","{760.5287475585938, 562.2022705078125}","{869.0196533203125, 641.6504516601562}","{753.7130126953125, 683.21923828125}","{516.0582885742188, 626.914306640625}"
"{898.5960083007812, 84.65496826171875}","{511.5751647949219, 247.73675537109375}","{465.6601867675781, 133.1396484375}","{279.0351257324219, 37.51312255859375}","{350.93023681640625, 159.53619384765625}","{242.04978942871094, 220.88787841796875}","{250.9845428466797, 308.3375549316406}","{86.50064086914062, 98.48095703125}","{846.4205932617188, 302.1287841796875}","{744.9789428710938, 310.1424865722656}","{831.3377685546875, 386.0102844238281}","{965.4640502929688, 523.8141479492188}","{760.5287475585938, 562.2022705078125}","{869.0196533203125, 641.6504516601562}","{753.7130126953125, 683.21923828125}","{516.0582885742188, 626.914306640625}"
