"{981.4356514788169, 480.69064748201447}","{436.28457234212624, 325.1670663469225}","{570.5259792166266, 488.87609912070354}","{493.58273381294964, 112.34532374100718}","{780.0735411670663, 95.97442046362914}","{843.920063948841, 362.8201438848921}","{840.6458832933653, 264.59472422062356}","{680.2110311750599, 351.36051159072747}","{757.1542765787369, 292.42525979216634}","{676.9368505195843, 208.933653077538}","{599.9936051159073, 267.8689048760991}","{483.76019184652273, 677.1414868105517}","{331.51079136690646, 598.5611510791368}","{311.86570743405275, 682.0527577937651}"
"{982.8153076171875, 482.4549560546875}","{436.164306640625, 323.6156311035156}","{570.3590698242188, 490.94775390625}","{492.1679382324219, 115.5504150390625}","{780.5640258789062, 97.3194580078125}","{843.6793823242188, 364.9156188964844}","{840.0572509765625, 265.75750732421875}","{678.00146484375, 352.2588806152344}","{756.43994140625, 293.6133117675781}","{674.9402465820312, 209.19580078125}","{599.750732421875, 266.6690673828125}","{481.2481384277344, 678.0545654296875}","{328.4364318847656, 598.0267333984375}","{313.1103515625, 682.4591064453125}"
"{984.8856811523438, 482.8016357421875}","{437.0091552734375, 323.090087890625}","{568.34814453125, 494.7759094238281}","{492.8272705078125, 114.194091796875}","{780.8106689453125, 98.5865478515625}","{842.5800170898438, 363.5008850097656}","{839.4366455078125, 265.1539611816406}","{678.39306640625, 352.0279541015625}","{755.549560546875, 292.959228515625}","{675.4296264648438, 207.89666748046875}","{602.0166625976562, 264.98431396484375}","{482.59820556640625, 676.6822509765625}","{328.73980712890625, 598.5007934570312}","{314.8926086425781, 682.33056640625}"
"{985.5087890625, 483.2532958984375}","{436.1798400878906, 324.5867919921875}","{568.7859497070312, 495.200927734375}","{493.48504638671875, 113.86712646484375}","{780.185791015625, 97.9970703125}","{843.1852416992188, 360.80523681640625}","{839.637451171875, 265.5628662109375}","{680.9857177734375, 352.8450622558594}","{756.6110229492188, 293.1910400390625}","{676.2966918945312, 208.585205078125}","{601.277099609375, 265.64910888671875}","{479.2962646484375, 676.0942993164062}","{327.9831237792969, 599.397705078125}","{315.4527282714844, 680.3656616210938}"
"{984.3932495117188, 482.8243103027344}","{437.0433044433594, 325.180908203125}","{569.8229370117188, 494.301025390625}","{495.92059326171875, 114.2156982421875}","{779.19287109375, 96.37713623046875}","{844.9857788085938, 362.29754638671875}","{839.7574462890625, 263.8310852050781}","{680.3004760742188, 352.6283264160156}","{757.1786499023438, 293.2738037109375}","{674.6915893554688, 208.00848388671875}","{598.8873901367188, 264.30389404296875}","{480.2757568359375, 674.748779296875}","{329.0452575683594, 600.7485961914062}","{316.4202880859375, 683.335205078125}"
"{985.4204711914062, 484.5148010253906}","{437.3481140136719, 327.9585876464844}","{572.2042236328125, 493.2635498046875}","{494.0733947753906, 114.98370361328125}","{780.3682250976562, 98.2645263671875}","{846.518310546875, 363.4795837402344}","{839.348876953125, 264.0721435546875}","{680.0057373046875, 352.54315185546875}","{757.62744140625, 293.57244873046875}","{674.9884643554688, 204.21649169921875}","{600.2632446289062, 264.69293212890625}","{479.300537109375, 676.1297607421875}","{328.5017395019531, 602.0107421875}","{318.030517578125, 683.4777221679688}"
"{984.3574829101562, 483.7564392089844}","{436.5808410644531, 328.1226501464844}","{572.1270141601562, 491.7916564941406}","{494.8605651855469, 116.73260498046875}","{781.7216796875, 97.57598876953125}","{847.6065063476562, 361.9267578125}","{837.7734985351562, 262.11212158203125}","{680.101806640625, 349.8135070800781}","{758.1674194335938, 292.6051025390625}","{673.118408203125, 206.2137451171875}","{599.8378295898438, 266.6330261230469}","{478.42987060546875, 674.6007080078125}","{327.4563903808594, 604.1367797851562}","{317.9698486328125, 683.1892700195312}"
"{981.983154296875, 483.61798095703125}","{437.9867858886719, 328.9627990722656}","{571.49462890625, 491.8750305175781}","{495.74853515625, 116.30303955078125}","{779.6060180664062, 98.044189453125}","{847.5982055664062, 359.2799072265625}","{838.374267578125, 259.068115234375}","{684.4067993164062, 348.8309326171875}","{756.0703125, 294.25042724609375}","{674.4078369140625, 203.9193115234375}","{601.6793212890625, 266.2128601074219}","{476.4590759277344, 673.9169311523438}","{326.71649169921875, 602.030029296875}","{319.0400695800781, 681.2794799804688}"
"{982.4403686523438, 485.2491760253906}","{439.38671875, 329.3719482421875}","{570.5855102539062, 492.3559875488281}","{493.5161437988281, 116.7467041015625}","{777.9472045898438, 97.566650390625}","{849.2161865234375, 359.8950500488281}","{838.1065063476562, 260.74658203125}","{681.4071655273438, 351.06475830078125}","{754.589599609375, 295.1282653808594}","{675.3387451171875, 203.368408203125}","{600.91259765625, 267.00628662109375}","{475.5215148925781, 675.3162841796875}","{326.1579895019531, 601.7421875}","{316.0584716796875, 682.1693115234375}"
"{978.80517578125, 485.517822265625}","{437.6649475097656, 332.5520935058594}","{570.4724731445312, 490.7900695800781}","{492.5740966796875, 116.2677001953125}","{777.3333129882812, 98.49481201171875}","{850.1264038085938, 359.1395568847656}","{837.6767578125, 262.2440185546875}","{682.904296875, 348.87030029296875}","{756.192626953125, 294.64764404296875}","{674.4517822265625, 202.781982421875}","{601.1522216796875, 266.89501953125}","{476.3390808105469, 675.1783447265625}","{326.0142822265625, 603.5601196289062}","{317.7421875, 680.0775756835938}"
"{976.2661743164062, 484.4997253417969}","{436.61273193359375, 334.396240234375}","{573.3792724609375, 493.38079833984375}","{491.4728088378906, 116.5078125}","{777.8336791992188, 102.12847900390625}","{849.1953125, 357.8259582519531}","{838.8424072265625, 259.9505920410156}","{681.4203491210938, 348.1104431152344}","{756.876953125, 297.05133056640625}","{674.5498046875, 204.495849609375}","{598.56884765625, 266.0753479003906}","{475.7439880371094, 676.1492919921875}","{326.5011291503906, 601.3426513671875}","{317.9296569824219, 676.2377319335938}"
