"{341.3333333333333, 277.69144684252603}","{210.36610711430853, 43.587529976019255}","{590.1710631494803, 99.24860111910482}","{683.4852118305355, 136.9016786570744}","{894.669864108713, 678.7785771382895}","{554.1550759392486, 379.19104716227025}","{433.0103916866507, 421.75539568345334}","{275.8497202238209, 541.2629896083134}","{280.76099120703435, 461.04556354916076}","{215.277378097522, 454.4972022382095}","{126.87450039968026, 436.48920863309365}"
"{339.7382507324219, 276.74420166015625}","{211.9648895263672, 43.29010009765625}","{592.4053344726562, 96.38336181640625}","{685.9889526367188, 136.2449951171875}","{896.0048828125, 680.24609375}","{553.1343383789062, 377.0650939941406}","{431.5498046875, 420.08331298828125}","{275.3037109375, 542.6839599609375}","{279.2167053222656, 460.5209045410156}","{217.24462890625, 456.469482421875}","{126.38148498535156, 432.80792236328125}"
"{337.4007263183594, 275.9287109375}","{212.47802734375, 41.75067138671875}","{591.05419921875, 96.82550048828125}","{687.0867309570312, 137.40277099609375}","{896.64404296875, 679.5289306640625}","{553.5579833984375, 377.58477783203125}","{431.60052490234375, 418.41534423828125}","{274.0242004394531, 542.8258666992188}","{278.0749206542969, 458.9820556640625}","{218.36529541015625, 456.1392822265625}","{127.36228942871094, 432.91070556640625}"
"{336.6656494140625, 275.2302551269531}","{213.32237243652344, 42.8433837890625}","{588.5258178710938, 96.2186279296875}","{688.212646484375, 137.36273193359375}","{895.6597900390625, 681.974609375}","{554.9468994140625, 378.8301696777344}","{431.3686828613281, 418.0615539550781}","{273.25048828125, 540.774169921875}","{276.3865051269531, 460.3825988769531}","{216.94285583496094, 455.9205627441406}","{128.09652709960938, 430.4394836425781}"
"{337.6838073730469, 275.2724609375}","{210.07342529296875, 42.2806396484375}","{588.8934326171875, 98.727783203125}","{688.1574096679688, 137.2987060546875}","{895.5018310546875, 681.6228637695312}","{555.9603881835938, 377.9974365234375}","{433.4978942871094, 417.44146728515625}","{274.3472595214844, 539.77294921875}","{274.0935974121094, 461.5624694824219}","{218.3238983154297, 457.86505126953125}","{128.377197265625, 433.59356689453125}"
"{337.6365966796875, 274.1781311035156}","{209.37998962402344, 44.12408447265625}","{589.4418334960938, 98.5113525390625}","{687.7891845703125, 137.31329345703125}","{895.3364868164062, 682.6876220703125}","{555.8084716796875, 380.6317138671875}","{433.3826904296875, 414.55645751953125}","{275.1555480957031, 541.0226440429688}","{277.5171813964844, 459.59649658203125}","{218.65553283691406, 457.98480224609375}","{129.352294921875, 433.1761169433594}"
"{336.3275146484375, 274.5460510253906}","{209.9499969482422, 44.7171630859375}","{588.9064331054688, 96.76617431640625}","{687.332275390625, 134.662353515625}","{893.3756713867188, 683.760986328125}","{554.6845092773438, 380.1507873535156}","{433.68133544921875, 414.83599853515625}","{276.00579833984375, 539.8563232421875}","{278.8099670410156, 461.1220703125}","{218.03564453125, 456.5559997558594}","{129.07168579101562, 432.9596252441406}"
"{336.7166748046875, 274.44964599609375}","{210.54225158691406, 41.6806640625}","{589.1577758789062, 97.5283203125}","{688.1751708984375, 134.25244140625}","{893.7810668945312, 682.2865600585938}","{553.6533203125, 380.1913757324219}","{433.2132873535156, 413.7178039550781}","{276.2279052734375, 540.885986328125}","{279.1748962402344, 457.99566650390625}","{217.74154663085938, 454.881591796875}","{130.53660583496094, 433.1523742675781}"
"{334.4820556640625, 274.9624938964844}","{210.26979064941406, 42.74298095703125}","{589.8569946289062, 98.05859375}","{686.7183227539062, 133.38323974609375}","{893.083251953125, 681.2036743164062}","{554.0635375976562, 381.4966735839844}","{433.7859802246094, 412.7598571777344}","{275.8779296875, 541.278564453125}","{280.1970520019531, 455.0746765136719}","{217.2517852783203, 455.9514465332031}","{129.4974365234375, 433.6308898925781}"
"{332.5824890136719, 274.85980224609375}","{210.60867309570312, 42.2071533203125}","{591.3006591796875, 95.27587890625}","{686.88720703125, 132.47216796875}","{892.5335083007812, 681.243896484375}","{555.0789794921875, 377.7188720703125}","{433.5455627441406, 413.5695495605469}","{275.73114013671875, 540.888671875}","{279.2843322753906, 454.6107482910156}","{215.90684509277344, 455.2643127441406}","{127.8509750366211, 434.91619873046875}"
"{331.9905700683594, 276.743408203125}","{208.12367248535156, 40.43310546875}","{592.2887573242188, 95.71722412109375}","{687.4307250976562, 130.46160888671875}","{893.7999267578125, 681.454345703125}","{555.1283569335938, 378.42333984375}","{434.0544738769531, 414.10113525390625}","{274.86505126953125, 541.642822265625}","{281.86529541015625, 455.54248046875}","{215.99407958984375, 454.3526306152344}","{128.00131225585938, 436.07525634765625}"
"{334.7289123535156, 274.8152770996094}","{208.28671264648438, 38.94305419921875}","{591.8290405273438, 95.69598388671875}","{687.8950805664062, 128.32666015625}","{896.247314453125, 681.298583984375}","{556.9758911132812, 376.6694641113281}","{435.3489074707031, 414.298095703125}","{276.0122375488281, 539.1076049804688}","{282.16522216796875, 455.2214050292969}","{215.05772399902344, 454.115478515625}","{127.1059341430664, 434.5987243652344}"
"{334.2968444824219, 276.1706848144531}","{208.73080444335938, 39.70330810546875}","{591.2583618164062, 96.80999755859375}","{687.5062866210938, 129.16131591796875}","{896.6671142578125, 681.6234130859375}","{558.1258544921875, 378.2049255371094}","{433.14593505859375, 413.28594970703125}","{274.1365051269531, 540.2877197265625}","{280.5561218261719, 456.92340087890625}","{214.43728637695312, 455.18719482421875}","{125.64427947998047, 435.15435791015625}"
"{333.3027648925781, 276.82891845703125}","{210.2986602783203, 39.59930419921875}","{594.6660766601562, 96.546630859375}","{687.2896728515625, 128.0911865234375}","{897.7888793945312, 680.925537109375}","{558.5455932617188, 379.35589599609375}","{430.7207946777344, 412.80645751953125}","{274.279052734375, 539.4723510742188}","{280.073974609375, 457.4915771484375}","{216.59268188476562, 454.7608642578125}","{126.52326965332031, 435.6676330566406}"
"{329.43438720703125, 275.3564453125}","{210.90362548828125, 37.83148193359375}","{593.6167602539062, 95.51348876953125}","{686.0126953125, 125.130126953125}","{897.2435913085938, 679.219970703125}","{556.5924072265625, 378.8491516113281}","{429.397705078125, 412.7873229980469}","{275.2998046875, 538.294921875}","{279.6034851074219, 458.8840026855469}","{216.96853637695312, 453.5263977050781}","{127.39818572998047, 432.9866638183594}"
"{332.64739990234375, 276.5189208984375}","{211.27857971191406, 40.58563232421875}","{595.2590942382812, 95.12884521484375}","{686.5679321289062, 123.9288330078125}","{897.3546752929688, 676.2354736328125}","{555.8025512695312, 378.7548828125}","{428.875244140625, 410.147705078125}","{278.77459716796875, 539.2515869140625}","{278.9386291503906, 459.70068359375}","{217.75538635253906, 453.0570983886719}","{128.648681640625, 431.76544189453125}"
"{331.216796875, 275.5460205078125}","{210.8790283203125, 40.15185546875}","{595.6334838867188, 95.5625}","{686.1795043945312, 124.866943359375}","{894.71923828125, 676.948974609375}","{554.1594848632812, 379.175537109375}","{432.1216125488281, 409.1884765625}","{278.82757568359375, 538.9348754882812}","{277.6177978515625, 457.67724609375}","{218.3218536376953, 452.87664794921875}","{128.32503509521484, 430.135498046875}"
"{330.4185791015625, 274.3934020996094}","{213.03286743164062, 38.64874267578125}","{592.9159545898438, 98.09912109375}","{685.2257690429688, 122.7259521484375}","{896.6102294921875, 676.9854736328125}","{555.5244750976562, 377.0892028808594}","{434.8501281738281, 406.8463439941406}","{279.00164794921875, 538.3654174804688}","{279.55279541015625, 453.137451171875}","{219.6810302734375, 452.6543273925781}","{128.69395446777344, 428.37957763671875}"
"{328.21331787109375, 273.666748046875}","{213.8364715576172, 38.528564453125}","{593.9946899414062, 96.95831298828125}","{686.0701904296875, 120.74298095703125}","{896.4656372070312, 678.2828979492188}","{556.40234375, 373.77032470703125}","{435.4468994140625, 406.85040283203125}","{280.73565673828125, 539.4801635742188}","{279.8324279785156, 453.03826904296875}","{219.93609619140625, 452.7462158203125}","{126.88980102539062, 429.5729675292969}"
"{326.9368896484375, 275.8367919921875}","{213.56402587890625, 39.22833251953125}","{594.1680297851562, 97.10443115234375}","{687.52490234375, 121.84259033203125}","{897.7572021484375, 678.586669921875}","{556.1473999023438, 374.7783508300781}","{434.1395263671875, 407.8109436035156}","{280.73004150390625, 537.90673828125}","{277.5614013671875, 450.7182312011719}","{220.6063690185547, 453.39068603515625}","{127.60990905761719, 430.6717529296875}"
"{326.53033447265625, 274.3499450683594}","{215.6326904296875, 40.8065185546875}","{595.0708618164062, 97.884765625}","{687.5759887695312, 122.31695556640625}","{897.636962890625, 678.2090454101562}","{555.789306640625, 374.9698791503906}","{433.0323486328125, 407.725830078125}","{279.1389465332031, 536.54248046875}","{277.8268127441406, 451.4044189453125}","{221.24990844726562, 453.308837890625}","{125.15962982177734, 430.0762023925781}"
"{327.2984619140625, 275.7241516113281}","{217.03431701660156, 39.312744140625}","{594.615234375, 99.86419677734375}","{688.65478515625, 122.6590576171875}","{900.12158203125, 675.9612426757812}","{556.2504272460938, 374.95831298828125}","{435.8133544921875, 408.1852111816406}","{279.0477294921875, 534.7916870117188}","{277.0795593261719, 449.0931701660156}","{220.74180603027344, 453.47637939453125}","{124.4931411743164, 431.30230712890625}"
"{326.494140625, 274.9133605957031}","{212.58262634277344, 39.09832763671875}","{597.7399291992188, 98.23492431640625}","{686.3675537109375, 123.85748291015625}","{898.8583374023438, 676.9033203125}","{555.343017578125, 377.1425476074219}","{435.646240234375, 410.2272033691406}","{278.2319030761719, 534.9402465820312}","{275.35198974609375, 447.55169677734375}","{220.4591064453125, 453.5195007324219}","{124.17637634277344, 429.7890319824219}"
"{326.7665710449219, 275.3193054199219}","{214.81846618652344, 39.0242919921875}","{597.72216796875, 96.12738037109375}","{688.5305786132812, 121.79486083984375}","{901.6975708007812, 679.1260375976562}","{556.0377807617188, 378.7878723144531}","{435.4089660644531, 410.4006652832031}","{280.6375732421875, 535.685791015625}","{275.8974914550781, 446.8755798339844}","{220.87255859375, 453.6064147949219}","{121.91352844238281, 429.18084716796875}"
"{324.1351623535156, 275.41046142578125}","{214.3918914794922, 38.96832275390625}","{596.512451171875, 95.3797607421875}","{690.1629028320312, 122.2296142578125}","{902.6478881835938, 678.7999877929688}","{555.7730102539062, 378.7210998535156}","{433.6398620605469, 410.76629638671875}","{280.69122314453125, 535.0192260742188}","{277.2746276855469, 444.5611877441406}","{220.4111328125, 453.14093017578125}","{119.87853240966797, 429.5226745605469}"
"{324.7470397949219, 275.88067626953125}","{211.6820068359375, 39.53314208984375}","{597.0721435546875, 95.0029296875}","{691.3024291992188, 120.15411376953125}","{901.6595458984375, 680.9551391601562}","{554.5659790039062, 378.6236267089844}","{432.8614807128906, 411.771728515625}","{280.3458251953125, 535.931640625}","{276.5560302734375, 444.7525329589844}","{218.99659729003906, 453.2192687988281}","{118.84066009521484, 428.8688659667969}"
"{324.4607849121094, 275.87921142578125}","{213.4480743408203, 39.05560302734375}","{595.90869140625, 97.07012939453125}","{691.6741943359375, 121.48480224609375}","{901.7528076171875, 681.9300537109375}","{553.9951782226562, 380.5341491699219}","{431.9504699707031, 409.5282287597656}","{279.6930847167969, 533.5299072265625}","{277.1832580566406, 445.3315124511719}","{218.79129028320312, 452.12469482421875}","{119.41732788085938, 429.7053527832031}"
"{325.92889404296875, 277.6071472167969}","{217.09988403320312, 38.1455078125}","{597.205810546875, 99.3106689453125}","{689.624755859375, 120.44061279296875}","{900.3953247070312, 680.5703125}","{554.2615966796875, 379.9870300292969}","{431.4506530761719, 410.07012939453125}","{279.65594482421875, 533.15673828125}","{276.3773193359375, 444.5934753417969}","{219.8863525390625, 451.8620300292969}","{118.24394226074219, 430.16778564453125}"
"{326.3099060058594, 279.41259765625}","{212.7211151123047, 37.714111328125}","{597.3013305664062, 98.83935546875}","{687.5950927734375, 121.28271484375}","{901.024658203125, 680.0125122070312}","{552.9212036132812, 380.326171875}","{432.70355224609375, 411.76593017578125}","{279.8231201171875, 529.2171630859375}","{275.4139709472656, 443.4440612792969}","{220.76123046875, 453.5920715332031}","{116.44288635253906, 432.7682189941406}"
"{325.5506591796875, 278.4369812011719}","{214.56182861328125, 38.255126953125}","{598.2963256835938, 99.95428466796875}","{688.2529907226562, 120.51513671875}","{899.5457153320312, 681.757568359375}","{554.1082763671875, 377.703125}","{430.5921325683594, 411.128173828125}","{279.9595947265625, 532.0244750976562}","{276.697998046875, 441.0596008300781}","{221.14219665527344, 454.3884582519531}","{115.07974243164062, 433.00299072265625}"
"{323.7494812011719, 275.9516906738281}","{216.5630645751953, 35.8671875}","{598.126953125, 100.01995849609375}","{688.7577514648438, 120.31011962890625}","{899.9645385742188, 682.9134521484375}","{551.3721923828125, 379.5549011230469}","{432.1257629394531, 410.87139892578125}","{279.68780517578125, 532.39453125}","{276.7431335449219, 440.4791259765625}","{220.13027954101562, 454.882080078125}","{115.14671325683594, 434.49945068359375}"
