"{696.5819344524381, 230.21582733812954}","{637.6466826538768, 71.41806554756192}","{516.5019984012789, 190.92565947242213}","{439.5587529976019, 59.95843325339729}","{293.8577138289368, 249.86091127098325}","{280.76099120703435, 264.59472422062356}","{225.09992006394884, 330.0783373301359}","{179.26139088729013, 282.60271782573943}","{552.5179856115108, 631.3029576338929}","{519.7761790567546, 660.7705835331735}","{431.37330135891284, 670.5931254996003}","{262.7529976019184, 541.2629896083134}","{115.4148681055156, 614.9320543565149}","{334.7849720223821, 722.9800159872103}","{950.3309352517986, 410.2957633892886}","{685.1223021582733, 443.0375699440448}","{596.7194244604316, 393.92486011191056}"
"{695.7032470703125, 231.19195556640625}","{638.3823852539062, 70.01116943359375}","{517.9379272460938, 192.5576171875}","{438.4291076660156, 60.51239013671875}","{293.3808288574219, 251.43438720703125}","{280.30792236328125, 264.5495910644531}","{224.55409240722656, 328.451416015625}","{179.15133666992188, 282.8916931152344}","{550.1154174804688, 633.4557495117188}","{520.2559204101562, 661.66015625}","{430.4420471191406, 670.797119140625}","{262.1462707519531, 542.3115234375}","{115.33979797363281, 613.9210205078125}","{334.3957824707031, 721.752685546875}","{951.2435302734375, 411.4781799316406}","{682.5985107421875, 443.9854431152344}","{596.9945068359375, 394.2083435058594}"
"{696.353271484375, 231.11053466796875}","{640.1943359375, 68.572998046875}","{516.61962890625, 191.75653076171875}","{437.0362854003906, 60.29364013671875}","{293.0419921875, 251.8109130859375}","{280.6247863769531, 265.0787353515625}","{227.037841796875, 328.8059387207031}","{181.91409301757812, 282.7470397949219}","{547.2383422851562, 631.4351806640625}","{518.9539794921875, 662.4681396484375}","{429.96124267578125, 672.201171875}","{263.5238342285156, 540.5183715820312}","{115.63778686523438, 614.0003051757812}","{335.23211669921875, 721.7068481445312}","{952.7160034179688, 410.3946838378906}","{681.209228515625, 443.839599609375}","{596.2972412109375, 395.7577209472656}"
"{699.38916015625, 230.41082763671875}","{639.1622924804688, 68.19610595703125}","{517.4480590820312, 191.72247314453125}","{437.37921142578125, 60.38739013671875}","{295.4938659667969, 249.47900390625}","{282.11297607421875, 265.1061706542969}","{226.73768615722656, 328.60638427734375}","{183.64349365234375, 282.4483947753906}","{548.5784301757812, 628.9168701171875}","{518.6182861328125, 663.8718872070312}","{429.2257995605469, 672.9248657226562}","{263.4173278808594, 541.28759765625}","{115.26333618164062, 614.3064575195312}","{334.65032958984375, 721.9553833007812}","{954.0166015625, 408.856689453125}","{678.8775634765625, 445.7651672363281}","{596.7891235351562, 392.8704528808594}"
"{698.8739013671875, 232.060791015625}","{639.840087890625, 69.66522216796875}","{516.3948364257812, 190.98211669921875}","{438.9574890136719, 60.49609375}","{294.89227294921875, 247.43853759765625}","{280.1750183105469, 264.89166259765625}","{226.17686462402344, 330.0984802246094}","{185.53451538085938, 283.1582336425781}","{550.2689819335938, 627.6356201171875}","{517.5982666015625, 663.404296875}","{426.783935546875, 675.5276489257812}","{262.73101806640625, 542.15087890625}","{116.0843276977539, 614.43359375}","{335.2419128417969, 721.7492065429688}","{951.9480590820312, 406.3804626464844}","{679.7338256835938, 444.9803771972656}","{597.36181640625, 393.7557678222656}"
"{697.9710083007812, 232.67413330078125}","{641.0491943359375, 68.03009033203125}","{515.9566650390625, 189.63726806640625}","{438.1924743652344, 61.52215576171875}","{292.68408203125, 246.8348388671875}","{281.6526184082031, 264.4093933105469}","{225.10804748535156, 332.7718811035156}","{183.91490173339844, 282.13165283203125}","{549.4194946289062, 627.6050415039062}","{516.1922607421875, 662.2703247070312}","{426.2795104980469, 673.7565307617188}","{262.3140563964844, 540.6411743164062}","{115.56975555419922, 614.7703857421875}","{335.174560546875, 722.8601684570312}","{952.84326171875, 407.1070556640625}","{680.111572265625, 446.0375671386719}","{598.1963500976562, 392.32574462890625}"
"{697.790283203125, 232.9532470703125}","{643.7764282226562, 66.995849609375}","{515.403564453125, 191.6273193359375}","{437.7983093261719, 59.45306396484375}","{291.8130187988281, 246.19573974609375}","{283.4122009277344, 262.7078857421875}","{225.47410583496094, 332.2727355957031}","{184.78567504882812, 279.8031005859375}","{551.2592163085938, 627.72314453125}","{517.4915161132812, 661.7449340820312}","{425.62969970703125, 673.2239990234375}","{261.4308776855469, 538.5147705078125}","{116.28894805908203, 613.4898681640625}","{335.7227783203125, 722.169921875}","{950.8668212890625, 406.5789794921875}","{680.0595703125, 446.59307861328125}","{599.9198608398438, 394.1289367675781}"
"{698.376953125, 231.52764892578125}","{644.8096313476562, 66.093994140625}","{514.0416870117188, 191.30029296875}","{434.6257019042969, 61.07684326171875}","{293.6098327636719, 244.0516357421875}","{282.34588623046875, 263.9055480957031}","{225.75099182128906, 331.4681091308594}","{183.5301055908203, 281.3440246582031}","{548.5230102539062, 627.52490234375}","{516.4763793945312, 662.3763427734375}","{424.94342041015625, 674.3493041992188}","{259.674072265625, 537.469482421875}","{115.56028747558594, 613.8221435546875}","{334.8655090332031, 722.3687744140625}","{949.4121704101562, 408.3299560546875}","{680.9561157226562, 445.1632995605469}","{599.6000366210938, 394.8486328125}"
"{699.5018920898438, 233.49713134765625}","{644.9249267578125, 65.8887939453125}","{512.6998291015625, 193.58154296875}","{435.1117858886719, 61.11688232421875}","{292.5484924316406, 245.8226318359375}","{282.47601318359375, 265.36126708984375}","{224.57737731933594, 332.22137451171875}","{183.8828887939453, 280.5829772949219}","{549.4439697265625, 625.950439453125}","{513.9889526367188, 663.99755859375}","{425.30145263671875, 676.3302001953125}","{260.9835510253906, 538.7177734375}","{115.71832275390625, 614.070068359375}","{335.34942626953125, 722.7623901367188}","{949.460693359375, 408.611328125}","{678.6982421875, 444.2846984863281}","{597.1275634765625, 392.38226318359375}"
"{699.6978149414062, 233.981689453125}","{643.1814575195312, 66.784423828125}","{512.7894897460938, 194.13653564453125}","{436.99493408203125, 62.00921630859375}","{292.4073486328125, 248.59625244140625}","{282.1910095214844, 266.59710693359375}","{224.3648223876953, 332.9607849121094}","{184.19613647460938, 280.2207336425781}","{551.4586791992188, 626.3687744140625}","{518.0448608398438, 663.252197265625}","{424.7303466796875, 675.0140380859375}","{261.4396667480469, 538.7286987304688}","{115.77960968017578, 614.0428466796875}","{335.74798583984375, 722.572265625}","{951.3994750976562, 408.14422607421875}","{680.5026245117188, 445.310546875}","{601.4450073242188, 393.6713562011719}"
"{699.6846313476562, 231.91668701171875}","{642.5073852539062, 67.6787109375}","{512.1442260742188, 194.0128173828125}","{438.1124267578125, 63.45806884765625}","{294.3412170410156, 246.406494140625}","{282.5149841308594, 265.7891845703125}","{224.78720092773438, 332.2904052734375}","{183.03384399414062, 280.5327453613281}","{551.4295043945312, 626.7320556640625}","{519.6315307617188, 664.7963256835938}","{424.83984375, 675.862548828125}","{262.10382080078125, 539.3094482421875}","{116.1753921508789, 613.784423828125}","{335.3295593261719, 722.6447143554688}","{952.1121215820312, 405.6415710449219}","{679.6539306640625, 445.22509765625}","{601.1410522460938, 396.1374816894531}"
"{699.6846313476562, 231.91668701171875}","{642.5073852539062, 67.6787109375}","{512.1442260742188, 194.0128173828125}","{438.1124267578125, 63.45806884765625}","{294.3412170410156, 246.406494140625}","{282.5149841308594, 265.7891845703125}","{224.78720092773438, 332.2904052734375}","{183.03384399414062, 280.5327453613281}","{551.4295043945312, 626.7320556640625}","{519.6315307617188, 664.7963256835938}","{424.83984375, 675.862548828125}","{262.10382080078125, 539.3094482421875}","{116.1753921508789, 613.784423828125}","{335.3295593261719, 722.6447143554688}","{952.1121215820312, 405.6415710449219}","{679.6539306640625, 445.22509765625}","{601.1410522460938, 396.1374816894531}"
"{698.8922119140625, 232.04052734375}","{645.3129272460938, 69.37640380859375}","{511.34893798828125, 193.43255615234375}","{437.1836242675781, 60.97479248046875}","{296.1040954589844, 247.9405517578125}","{280.7255554199219, 264.4754333496094}","{225.77076721191406, 334.2474670410156}","{185.35105895996094, 279.3814697265625}","{554.0337524414062, 627.3075561523438}","{521.37353515625, 663.8076782226562}","{426.94390869140625, 674.9278564453125}","{261.03582763671875, 537.8011474609375}","{115.91121673583984, 613.5540771484375}","{335.1291809082031, 721.9204711914062}","{954.6698608398438, 405.9773254394531}","{678.4825439453125, 447.1153259277344}","{603.1793212890625, 390.8922119140625}"
"{699.9725952148438, 233.46527099609375}","{645.8827514648438, 67.12255859375}","{510.2618103027344, 192.53021240234375}","{437.8384094238281, 60.05242919921875}","{293.4708557128906, 247.29693603515625}","{280.6158142089844, 266.56890869140625}","{225.8763427734375, 333.1836853027344}","{186.5198974609375, 277.8139343261719}","{553.0120239257812, 627.9736328125}","{522.260498046875, 663.3657836914062}","{425.70147705078125, 674.644287109375}","{262.22900390625, 540.242431640625}","{115.604736328125, 614.55615234375}","{335.66131591796875, 721.587890625}","{954.33203125, 406.21197509765625}","{678.3433837890625, 446.1885986328125}","{603.0892944335938, 393.23779296875}"
"{700.6145629882812, 233.0211181640625}","{644.579833984375, 67.73138427734375}","{508.625244140625, 193.9010009765625}","{437.24029541015625, 58.9693603515625}","{294.0679931640625, 248.1722412109375}","{281.6874694824219, 268.4341735839844}","{225.22494506835938, 333.8611755371094}","{189.41871643066406, 278.19561767578125}","{552.9862670898438, 625.6087646484375}","{521.2196655273438, 663.85498046875}","{426.11376953125, 675.0291137695312}","{262.6515808105469, 539.6788940429688}","{116.20645904541016, 614.0597534179688}","{335.12921142578125, 722.6940307617188}","{952.9759521484375, 406.2008056640625}","{676.98095703125, 447.0789489746094}","{601.2041625976562, 390.5662841796875}"
"{702.2005004882812, 233.5745849609375}","{644.8719482421875, 68.852294921875}","{508.0386657714844, 192.8572998046875}","{436.11578369140625, 58.09912109375}","{294.9980773925781, 246.63055419921875}","{282.01678466796875, 268.9807434082031}","{224.3436737060547, 335.4580993652344}","{190.32122802734375, 278.9352722167969}","{553.6162719726562, 625.8619384765625}","{521.4642333984375, 665.328369140625}","{426.64874267578125, 674.1005859375}","{262.5293884277344, 538.1157836914062}","{115.81887817382812, 613.7261962890625}","{335.7367248535156, 722.2902221679688}","{954.6298828125, 406.9505920410156}","{675.1807250976562, 448.2972412109375}","{600.8922119140625, 391.76165771484375}"
"{702.2286987304688, 233.3856201171875}","{645.674560546875, 69.3372802734375}","{506.5361022949219, 191.8349609375}","{439.7377624511719, 60.127197265625}","{296.635986328125, 246.17181396484375}","{283.9538879394531, 268.2348937988281}","{226.2876739501953, 335.4659729003906}","{188.25682067871094, 278.2670593261719}","{552.5729370117188, 625.5413818359375}","{521.1620483398438, 667.4519653320312}","{426.5970153808594, 673.6307373046875}","{263.00262451171875, 535.6080932617188}","{116.10323333740234, 614.3021240234375}","{335.1991271972656, 722.0706176757812}","{954.8412475585938, 408.5755615234375}","{675.3626098632812, 447.0725402832031}","{600.4810180664062, 394.9322509765625}"
