"{446.10711430855315, 443.0375699440448}","{938.8713029576338, 351.36051159072747}","{405.1798561151079, 71.41806554756192}","{544.3325339728217, 161.4580335731415}","{156.3421262989608, 55.04716227018389}","{85.947242206235, 146.7242206235012}","{318.414068745004, 271.1430855315748}","{311.86570743405275, 325.1670663469225}","{627.82414068745, 356.27178257394087}","{706.4044764188649, 429.9408473221423}","{621.2757793764988, 483.96482813749003}","{595.0823341326939, 529.8033573141487}","{518.1390887290167, 574.0047961630696}","{889.7585931254996, 500.3357314148682}","{984.7098321342926, 703.3349320543566}"
"{445.7641296386719, 443.8459777832031}","{939.2324829101562, 350.1233215332031}","{405.66937255859375, 69.64068603515625}","{544.6630249023438, 162.279052734375}","{158.1082763671875, 54.66357421875}","{86.30108642578125, 145.0113525390625}","{319.46038818359375, 271.04364013671875}","{311.077880859375, 326.6098327636719}","{629.2216796875, 357.3093566894531}","{705.1229248046875, 429.4854431152344}","{621.17333984375, 485.7395324707031}","{595.8928833007812, 528.9959716796875}","{515.595703125, 573.9810791015625}","{888.3719482421875, 499.8150634765625}","{984.7077026367188, 701.2294311523438}"
"{447.8538513183594, 444.60955810546875}","{938.1423950195312, 350.2040710449219}","{404.2566223144531, 68.82489013671875}","{543.6575317382812, 162.43975830078125}","{158.75445556640625, 54.6151123046875}","{86.61571502685547, 144.90277099609375}","{320.1861267089844, 269.0031433105469}","{311.8851318359375, 326.8414611816406}","{630.3641357421875, 357.1148986816406}","{706.2708740234375, 430.9452819824219}","{621.315673828125, 486.61297607421875}","{595.5099487304688, 530.9121704101562}","{513.5439453125, 573.9176635742188}","{888.9295654296875, 499.75177001953125}","{986.4573364257812, 702.3388671875}"
"{448.08355712890625, 444.7759094238281}","{937.1654052734375, 352.06561279296875}","{403.0869140625, 66.08721923828125}","{542.639404296875, 164.511962890625}","{159.4140625, 53.52734375}","{85.18792724609375, 144.20703125}","{320.3392639160156, 267.52288818359375}","{311.7752380371094, 326.7539367675781}","{630.7854614257812, 356.987060546875}","{706.7627563476562, 432.4728088378906}","{621.3180541992188, 486.70159912109375}","{596.7691040039062, 530.6888427734375}","{511.1856689453125, 575.0660400390625}","{887.9953002929688, 500.4977722167969}","{984.8600463867188, 704.7816772460938}"
"{444.34478759765625, 442.58074951171875}","{939.2503051757812, 351.5596008300781}","{405.1446228027344, 67.6846923828125}","{541.610595703125, 166.0340576171875}","{158.8065643310547, 52.70794677734375}","{82.37103271484375, 145.6173095703125}","{321.2645568847656, 265.9305725097656}","{311.51959228515625, 326.5927734375}","{631.0220947265625, 357.55126953125}","{705.734619140625, 431.50518798828125}","{623.1560668945312, 488.0382080078125}","{596.7019653320312, 530.9187622070312}","{512.4454040527344, 575.493896484375}","{888.9265747070312, 499.5193176269531}","{988.5371704101562, 706.8572998046875}"
"{443.0680236816406, 443.61883544921875}","{939.1503295898438, 353.2418212890625}","{405.7030334472656, 68.751953125}","{542.939208984375, 166.5927734375}","{161.44058227539062, 50.5125732421875}","{79.70287322998047, 145.66485595703125}","{320.6009826660156, 266.9684753417969}","{310.3152160644531, 326.9376525878906}","{630.8040771484375, 357.17877197265625}","{705.0101928710938, 431.9872741699219}","{622.6798095703125, 488.8202819824219}","{598.355712890625, 528.18798828125}","{513.1790771484375, 577.8534545898438}","{888.4844360351562, 500.859130859375}","{987.0997924804688, 706.5162963867188}"
"{442.7582092285156, 442.335693359375}","{939.1163330078125, 353.0485534667969}","{406.54376220703125, 72.0096435546875}","{543.4053955078125, 170.18572998046875}","{163.8114471435547, 51.63092041015625}","{80.9073486328125, 147.54705810546875}","{321.6882629394531, 268.2294921875}","{311.2967834472656, 325.5250549316406}","{629.9952392578125, 356.09637451171875}","{707.82080078125, 433.1504821777344}","{623.2642211914062, 486.4103698730469}","{596.0535278320312, 529.0802001953125}","{514.3649291992188, 576.89697265625}","{888.1779174804688, 499.635498046875}","{989.829345703125, 707.0704956054688}"
"{440.96820068359375, 443.26971435546875}","{938.2667846679688, 355.21234130859375}","{406.00396728515625, 75.37176513671875}","{543.2198486328125, 168.5355224609375}","{164.40045166015625, 52.65478515625}","{80.53617095947266, 145.652099609375}","{321.0801086425781, 267.37274169921875}","{312.2406921386719, 325.1470947265625}","{628.9985961914062, 355.4152526855469}","{708.1232299804688, 432.6705322265625}","{622.8250732421875, 485.98260498046875}","{593.3004760742188, 530.0219116210938}","{514.9340209960938, 576.8819580078125}","{887.7118530273438, 499.6597595214844}","{989.2066650390625, 709.22509765625}"
"{442.2288818359375, 444.396484375}","{936.7193603515625, 357.7397766113281}","{408.04156494140625, 73.885009765625}","{545.006591796875, 166.98394775390625}","{162.48321533203125, 52.21160888671875}","{78.64674377441406, 147.54840087890625}","{321.7920837402344, 265.21435546875}","{312.0125732421875, 325.1415100097656}","{628.70751953125, 356.8500671386719}","{710.5645141601562, 433.1151123046875}","{622.66064453125, 488.39825439453125}","{591.0130615234375, 529.50927734375}","{514.9952392578125, 575.5758056640625}","{888.08642578125, 499.8951416015625}","{987.90380859375, 710.6673583984375}"
"{441.7458801269531, 445.0255432128906}","{937.0972290039062, 357.854736328125}","{410.0434265136719, 73.1932373046875}","{543.8471069335938, 166.85968017578125}","{163.4219970703125, 53.4541015625}","{77.98394775390625, 145.74847412109375}","{324.98291015625, 267.7428894042969}","{312.94354248046875, 324.8896484375}","{628.8804321289062, 354.4677429199219}","{708.9872436523438, 433.58203125}","{623.7781982421875, 486.53271484375}","{591.708740234375, 531.706787109375}","{515.1034545898438, 574.7005004882812}","{888.2062377929688, 500.24615478515625}","{988.2601928710938, 709.9066162109375}"
"{440.0813293457031, 445.0711669921875}","{938.5230712890625, 358.64556884765625}","{410.8017883300781, 74.7523193359375}","{544.2045288085938, 167.35009765625}","{164.3124237060547, 52.52142333984375}","{77.53839874267578, 145.52117919921875}","{326.3122863769531, 269.6307678222656}","{314.0469970703125, 324.38006591796875}","{627.6412963867188, 353.3764953613281}","{705.5636596679688, 433.3721923828125}","{622.6660766601562, 488.86285400390625}","{592.4024047851562, 532.280517578125}","{516.4030151367188, 576.5023803710938}","{888.5341186523438, 499.99798583984375}","{986.4403076171875, 711.4166870117188}"
