"{904.4924060751398, 524.8920863309354}","{865.2022382094324, 451.22302158273396}","{444.4700239808153, 382.46522781774604}","{241.47082334132693, 84.51478816946462}","{175.98721023181452, 279.328537170264}","{377.3493205435651, 536.3517186251001}"
"{905.9820556640625, 523.22216796875}","{863.2034912109375, 450.29888916015625}","{444.96453857421875, 380.5122375488281}","{240.61256408691406, 82.7884521484375}","{172.76844787597656, 281.6500549316406}","{375.1757507324219, 535.0439453125}"
"{906.621826171875, 522.62060546875}","{864.6050415039062, 448.1809387207031}","{446.027099609375, 381.3651123046875}","{239.92637634277344, 84.3394775390625}","{173.84060668945312, 280.7415466308594}","{374.2807312011719, 533.280029296875}"
"{906.2820434570312, 521.8319702148438}","{864.2445678710938, 448.7962341308594}","{446.89678955078125, 383.554443359375}","{239.0404510498047, 85.0157470703125}","{172.3648681640625, 281.999755859375}","{374.8243408203125, 532.2861328125}"
"{903.756103515625, 524.19677734375}","{864.5643310546875, 448.02862548828125}","{447.0986633300781, 386.88702392578125}","{238.18045043945312, 86.81573486328125}",Missing[],"{374.61041259765625, 534.0142211914062}"
"{903.6363525390625, 525.5042724609375}","{866.0475463867188, 448.5216369628906}","{446.01226806640625, 386.6992492675781}","{237.71385192871094, 87.78509521484375}",Missing[],"{374.48309326171875, 534.4931030273438}"
"{904.6350708007812, 527.1698608398438}","{865.7958374023438, 450.4472961425781}","{447.1119689941406, 385.83349609375}","{239.72293090820312, 86.0859375}",Missing[],"{374.27532958984375, 532.3390502929688}"
"{903.912841796875, 527.6224365234375}","{866.8331909179688, 451.1412658691406}","{447.5933532714844, 388.595947265625}","{240.69256591796875, 85.83526611328125}",Missing[],"{371.5841064453125, 533.3950805664062}"
"{904.552734375, 525.2154541015625}","{866.7227783203125, 452.4376220703125}","{448.83502197265625, 384.8617248535156}","{240.97691345214844, 87.80615234375}",Missing[],"{373.2690124511719, 531.353271484375}"
"{905.2319946289062, 525.0665283203125}","{865.0122680664062, 453.76507568359375}","{445.761474609375, 385.5168762207031}","{240.28309631347656, 89.15802001953125}",Missing[],"{373.8857421875, 531.5642700195312}"
"{905.2160034179688, 524.4622802734375}","{864.3101196289062, 452.3839416503906}","{446.42352294921875, 387.1709289550781}","{243.23617553710938, 89.97235107421875}",Missing[],"{372.5511474609375, 530.0321655273438}"
"{905.2160034179688, 524.4622802734375}","{864.3101196289062, 452.3839416503906}","{446.42352294921875, 387.1709289550781}","{243.23617553710938, 89.97235107421875}",Missing[],"{372.5511474609375, 530.0321655273438}"
"{907.3968505859375, 523.7161865234375}","{861.1671752929688, 452.1013488769531}","{442.4599304199219, 379.3669128417969}","{245.6895751953125, 88.0654296875}",Missing[],"{369.56817626953125, 527.541259765625}"
"{906.4942626953125, 527.0935668945312}","{859.8624267578125, 450.172119140625}","{442.9033508300781, 379.3733215332031}","{245.67999267578125, 87.46295166015625}",Missing[],"{367.39556884765625, 528.78271484375}"
"{904.6256103515625, 527.0123291015625}","{861.5960693359375, 447.66961669921875}","{444.0599060058594, 380.4737243652344}","{245.26345825195312, 88.0587158203125}",Missing[],"{369.61334228515625, 528.5615234375}"
"{902.3416748046875, 525.942626953125}","{861.5513916015625, 447.1655578613281}","{442.5489196777344, 382.0218811035156}","{245.07846069335938, 89.88201904296875}",Missing[],"{371.6627197265625, 531.4747314453125}"
"{903.397216796875, 526.2440185546875}","{860.474853515625, 447.1039123535156}","{445.545654296875, 384.7718200683594}","{245.91256713867188, 89.2071533203125}",Missing[],"{372.424560546875, 532.4515380859375}"
