"{541.0583533173461, 127.07913669064749}","{252.93045563549157, 449.5859312549961}","{198.90647482014384, 598.5611510791368}"
"{540.503173828125, 125.96826171875}","{252.83631896972656, 448.26641845703125}","{201.8196258544922, 596.7846069335938}"
"{539.855224609375, 126.7127685546875}","{253.05029296875, 451.14422607421875}","{201.84153747558594, 594.9764404296875}"
"{541.0569458007812, 124.4783935546875}","{254.1027374267578, 451.0602722167969}","{202.00946044921875, 597.3772583007812}"
"{542.4761962890625, 125.44439697265625}","{255.48876953125, 452.2047424316406}","{202.22740173339844, 597.7286376953125}"
"{541.223388671875, 125.177490234375}","{254.4490966796875, 450.5388488769531}","{201.90284729003906, 599.2510986328125}"
"{542.2059326171875, 127.4410400390625}","{254.13009643554688, 450.834228515625}","{202.70155334472656, 600.160400390625}"
"{543.4168090820312, 127.645751953125}","{254.88348388671875, 453.0551452636719}","{203.55557250976562, 601.1947021484375}"
"{543.4814453125, 128.114013671875}","{256.4398193359375, 453.72406005859375}","{203.83502197265625, 600.8275146484375}"
"{543.3206176757812, 128.8148193359375}","{256.26263427734375, 453.68072509765625}","{202.7620849609375, 603.0979614257812}"
"{545.1278686523438, 129.3861083984375}","{255.6900634765625, 452.61187744140625}","{203.407470703125, 604.3138427734375}"
"{545.1278686523438, 129.3861083984375}","{255.6900634765625, 452.61187744140625}","{203.407470703125, 604.3138427734375}"
"{543.5015869140625, 127.4755859375}","{256.52728271484375, 455.5811767578125}","{201.30960083007812, 603.0225830078125}"
"{543.6978149414062, 125.92034912109375}","{256.560791015625, 455.77850341796875}","{200.8555450439453, 603.4443359375}"
"{544.3233032226562, 125.86065673828125}","{255.12974548339844, 455.4651184082031}","{198.00711059570312, 602.842529296875}"
"{541.9588012695312, 125.6806640625}","{255.20083618164062, 455.2724609375}","{201.13125610351562, 604.074462890625}"
"{538.1634521484375, 123.7950439453125}","{254.715087890625, 457.99774169921875}","{199.7776641845703, 604.1934204101562}"
"{536.5990600585938, 122.9046630859375}","{253.6802978515625, 458.2569274902344}","{201.86204528808594, 603.89453125}"
"{536.0271606445312, 122.0711669921875}","{253.5533447265625, 459.94622802734375}","{201.38526916503906, 603.4005737304688}"
"{537.029052734375, 122.8040771484375}","{253.61727905273438, 461.5006103515625}","{200.9492950439453, 603.963623046875}"
"{538.8633422851562, 123.33660888671875}","{254.73219299316406, 461.8988952636719}","{203.76229858398438, 603.1924438476562}"
"{540.8490600585938, 120.9027099609375}","{254.67811584472656, 462.90643310546875}","{204.61846923828125, 601.470458984375}"
"{542.0608520507812, 120.6610107421875}","{254.49081420898438, 464.0503234863281}","{203.96298217773438, 600.9014282226562}"
"{543.3919677734375, 120.86083984375}","{254.59164428710938, 465.22137451171875}","{202.96055603027344, 602.5274658203125}"
"{540.9893188476562, 122.0272216796875}","{255.05628967285156, 464.5862121582031}","{204.34823608398438, 601.191162109375}"
"{541.027587890625, 125.56689453125}","{254.24285888671875, 463.39501953125}","{203.5652618408203, 601.0223999023438}"
"{540.4537353515625, 127.0810546875}","{255.2457275390625, 461.11962890625}","{205.2296905517578, 602.7794799804688}"
"{540.3447875976562, 127.72198486328125}","{254.14236450195312, 461.043701171875}","{205.29171752929688, 603.2244873046875}"
"{541.573486328125, 128.150634765625}","{254.50018310546875, 463.32891845703125}","{205.09689331054688, 604.4198608398438}"
"{540.9749755859375, 126.29541015625}","{256.0426330566406, 463.0657958984375}","{205.54486083984375, 602.9274291992188}"
"{540.8228149414062, 125.70330810546875}","{255.14866638183594, 464.92291259765625}","{204.6993865966797, 604.5291748046875}"
"{539.7014770507812, 126.5760498046875}","{250.64208984375, 464.68670654296875}","{204.4646453857422, 603.0670166015625}"
"{537.9293823242188, 125.93310546875}","{251.73936462402344, 465.7867126464844}","{208.800537109375, 604.3316650390625}"
"{534.8448486328125, 123.3643798828125}","{250.34033203125, 465.957763671875}","{206.66993713378906, 603.2557373046875}"
"{535.925048828125, 128.76239013671875}","{251.8505859375, 466.8038635253906}","{206.3594512939453, 606.7090454101562}"
"{534.14111328125, 127.28387451171875}","{251.0039825439453, 466.1471252441406}","{204.61402893066406, 605.5770874023438}"
"{533.6317138671875, 127.27532958984375}","{251.72158813476562, 467.1076354980469}","{201.84788513183594, 605.5923461914062}"
"{535.0535278320312, 127.6488037109375}","{251.17660522460938, 466.0615539550781}","{200.15103149414062, 605.0521240234375}"
"{535.6236572265625, 125.82684326171875}","{249.24444580078125, 467.8853454589844}","{196.60279846191406, 605.0523681640625}"
"{536.9453125, 128.58905029296875}","{248.8003387451172, 467.166015625}","{197.71044921875, 601.864501953125}"
"{537.9759521484375, 128.32464599609375}","{248.54978942871094, 468.0123291015625}","{198.4704132080078, 599.7313232421875}"
"{539.0249633789062, 126.982421875}","{249.91995239257812, 469.0932922363281}","{201.28466796875, 599.8456420898438}"
"{539.0211181640625, 125.7039794921875}","{247.1156005859375, 467.94989013671875}","{201.20831298828125, 597.7297973632812}"
"{538.8106689453125, 126.36553955078125}","{246.33168029785156, 470.0137939453125}","{199.5121307373047, 600.3432006835938}"
"{537.6652221679688, 126.6466064453125}","{246.27206420898438, 469.0981750488281}","{200.1640625, 601.39599609375}"
"{538.88037109375, 125.9158935546875}","{246.71336364746094, 468.46856689453125}","{200.6076202392578, 602.7269287109375}"
"{539.256591796875, 126.26092529296875}","{247.695556640625, 468.7905578613281}","{199.4196014404297, 602.171142578125}"
"{539.7163696289062, 129.00921630859375}","{248.7714385986328, 468.02423095703125}","{200.49559020996094, 600.9857177734375}"
"{539.50341796875, 127.6085205078125}","{248.75277709960938, 468.3047180175781}","{198.07154846191406, 600.8817138671875}"
"{539.50341796875, 127.6085205078125}","{248.75277709960938, 468.3047180175781}","{198.07154846191406, 600.8817138671875}"
"{540.3890991210938, 126.0081787109375}","{249.20372009277344, 469.8081359863281}","{196.9333953857422, 603.3931884765625}"
"{539.8405151367188, 124.74188232421875}","{250.5028533935547, 469.0257568359375}","{196.76522827148438, 602.8040771484375}"
"{538.798583984375, 125.1605224609375}","{252.15480041503906, 469.0101318359375}","{198.13401794433594, 604.2716064453125}"
"{540.9774169921875, 122.97979736328125}","{248.6151123046875, 469.55413818359375}","{198.82635498046875, 602.7593994140625}"
"{541.0259399414062, 124.546142578125}","{246.20399475097656, 466.7881164550781}","{200.16229248046875, 603.2371826171875}"
"{540.455810546875, 123.9749755859375}","{245.083984375, 465.3594970703125}","{198.22364807128906, 604.7406005859375}"
"{540.6668701171875, 125.4337158203125}","{245.7657470703125, 463.1822814941406}","{197.45001220703125, 603.373291015625}"
"{540.9640502929688, 124.79498291015625}","{246.86680603027344, 462.0101013183594}","{196.09678649902344, 604.2142333984375}"
"{538.4078369140625, 122.352294921875}","{246.9109344482422, 461.6278991699219}","{197.09945678710938, 603.133056640625}"
"{537.9892578125, 124.26678466796875}","{246.5462188720703, 460.9725646972656}","{197.62413024902344, 603.574951171875}"
"{534.7286376953125, 124.2689208984375}","{245.74838256835938, 460.6416931152344}","{195.89263916015625, 602.9545288085938}"
"{534.676025390625, 122.54827880859375}","{244.66766357421875, 459.91033935546875}","{195.2045135498047, 602.4354248046875}"
"{533.3751220703125, 122.27569580078125}","{243.4513702392578, 457.5818786621094}","{194.7008819580078, 602.877197265625}"
"{534.6934814453125, 121.40118408203125}","{243.17835998535156, 455.5543518066406}","{196.82139587402344, 603.2119140625}"
"{535.035400390625, 122.79522705078125}","{243.40103149414062, 455.1932373046875}","{197.10716247558594, 600.9190673828125}"
"{535.1403198242188, 123.45208740234375}","{241.96533203125, 455.166748046875}","{196.19961547851562, 601.9798583984375}"
"{534.075927734375, 124.5999755859375}","{245.1260986328125, 455.463134765625}","{194.9411163330078, 601.48583984375}"
"{533.1505737304688, 123.78021240234375}","{244.8301239013672, 457.8854675292969}","{195.5657501220703, 601.6727294921875}"
"{534.3863525390625, 121.91973876953125}","{246.5183563232422, 459.9237365722656}","{195.78900146484375, 602.6641845703125}"
"{534.3091430664062, 121.488525390625}","{245.59182739257812, 461.31494140625}","{197.05043029785156, 604.1697387695312}"
"{534.781982421875, 124.0406494140625}","{245.67018127441406, 461.899169921875}","{195.6952667236328, 603.0787963867188}"
"{536.3113403320312, 123.9271240234375}","{245.57989501953125, 463.1821594238281}","{195.86204528808594, 602.6245727539062}"
"{533.3480834960938, 121.5416259765625}","{246.34164428710938, 463.5723571777344}","{194.0342254638672, 602.7828369140625}"
