"{868.476418864908, 289.1510791366908}","{873.3876898481215, 510.1582733812951}","{599.9936051159073, 649.310951239009}","{364.2525979216626, 405.3844924060753}"
"{868.7020263671875, 288.5063171386719}","{871.9660034179688, 508.41143798828125}","{600.785888671875, 650.488525390625}","{365.21826171875, 406.0823669433594}"
"{869.9046020507812, 289.09857177734375}","{871.8370971679688, 509.22906494140625}","{599.57568359375, 650.9232177734375}","{364.8124084472656, 405.018310546875}"
"{871.179931640625, 288.8998718261719}","{872.6235961914062, 511.2534484863281}","{598.8952026367188, 651.6236572265625}","{359.546630859375, 406.89056396484375}"
"{871.3851928710938, 288.05548095703125}","{872.4957885742188, 513.2122192382812}","{599.351806640625, 652.68701171875}","{360.02154541015625, 406.7233581542969}"
"{870.2559204101562, 287.80108642578125}","{874.0447387695312, 515.0806884765625}","{599.6636352539062, 651.4547119140625}","{362.6903076171875, 406.8695068359375}"
"{869.728515625, 288.33953857421875}","{875.3421020507812, 514.9411010742188}","{600.0230102539062, 649.5745239257812}","{363.41571044921875, 407.808349609375}"
"{869.9334716796875, 290.0775146484375}","{877.2078247070312, 516.0206298828125}","{601.1484985351562, 650.2904052734375}","{361.41650390625, 406.8218078613281}"
"{871.0679931640625, 291.02947998046875}","{875.9043579101562, 515.87548828125}","{600.777587890625, 647.8695678710938}","{361.2503662109375, 406.2017822265625}"
"{870.438720703125, 293.78265380859375}","{877.2279052734375, 514.6717529296875}","{601.08349609375, 648.8052978515625}","{358.5487976074219, 404.434326171875}"
"{868.6092529296875, 294.1999816894531}","{877.3929443359375, 513.4281005859375}","{599.0216674804688, 648.0400390625}","{358.052978515625, 404.5302734375}"
"{867.8599853515625, 291.93536376953125}","{875.5980224609375, 513.1746215820312}","{598.4035034179688, 650.123291015625}","{357.87445068359375, 404.6102600097656}"
"{866.6980590820312, 290.5086669921875}","{874.8086547851562, 515.9757690429688}","{600.725341796875, 651.627685546875}","{357.8482971191406, 404.2080078125}"
"{866.7005615234375, 289.0297546386719}","{874.0935668945312, 515.96533203125}","{599.79150390625, 653.1903686523438}","{360.762939453125, 403.8755187988281}"
"{865.5311279296875, 289.8918762207031}","{874.4281005859375, 517.8207397460938}","{601.37060546875, 653.2193603515625}","{360.46795654296875, 404.16937255859375}"
"{865.4443359375, 288.6622009277344}","{874.9485473632812, 514.1361083984375}","{602.5732421875, 651.91357421875}","{359.0748291015625, 404.7158508300781}"
"{865.4588623046875, 286.4839782714844}","{875.7128295898438, 515.3812255859375}","{602.7935180664062, 650.8861694335938}","{359.0503845214844, 405.2737731933594}"
"{863.653564453125, 286.4046936035156}","{875.4254760742188, 514.427001953125}","{601.352294921875, 651.427734375}","{361.6957092285156, 403.703369140625}"
"{863.23095703125, 284.8721618652344}","{875.380859375, 516.0437622070312}","{600.7341918945312, 650.8359985351562}","{360.7189025878906, 403.9252624511719}"
"{864.4019775390625, 284.4964294433594}","{874.3872680664062, 517.2118530273438}","{602.4348754882812, 649.211669921875}","{360.29107666015625, 402.79669189453125}"
"{863.754150390625, 286.0271301269531}","{874.7877807617188, 516.0677490234375}","{601.1851806640625, 648.5424194335938}","{361.8005676269531, 405.140380859375}"
"{865.2841186523438, 286.28570556640625}","{876.6704711914062, 515.4302978515625}","{600.0037841796875, 650.1864624023438}","{361.7989807128906, 406.2148132324219}"
"{865.72119140625, 287.40045166015625}","{876.4072875976562, 514.888427734375}","{599.1024169921875, 649.553466796875}","{360.0796813964844, 405.4199523925781}"
"{863.8500366210938, 287.8543701171875}","{878.4344482421875, 513.754150390625}","{599.5680541992188, 651.0328369140625}","{361.9466857910156, 407.1581115722656}"
"{864.357421875, 288.4423828125}","{877.36376953125, 513.8802490234375}","{600.2771606445312, 652.260986328125}","{363.07269287109375, 406.9143371582031}"
"{863.787109375, 286.4996032714844}","{875.7868041992188, 513.1719360351562}","{602.7356567382812, 652.4613037109375}","{362.6503601074219, 410.2061767578125}"
"{860.4810791015625, 285.8244934082031}","{876.6329345703125, 510.5263366699219}","{603.355224609375, 650.09912109375}","{361.6185607910156, 408.7866516113281}"
"{860.655517578125, 283.6431884765625}","{877.5692749023438, 510.9518737792969}","{603.0947875976562, 650.0442504882812}","{360.95574951171875, 406.7975158691406}"
"{860.7272338867188, 283.75506591796875}","{877.7112426757812, 510.06353759765625}","{602.662841796875, 650.655029296875}","{360.3631896972656, 408.42852783203125}"
